,society_name,short_description,bhk,square_feet,price,description
81,D2 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,700 sqft",₹2.8 Cr,"Check out this 3 bhk apartment for sale in d2 vasant kunj, a popular residential project that houses in-Demand flats in vasant kunj, south delhi. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a built up area of 1700 sq.Ft. This flat lies on the 1st level of a 3 storey building. Being a ready to move project, you can expect im..."
82,"Malviya Nagar, Delhi, South Delhi","2 BHK Independent Builder Floor in Malviya Nagar, Delhi",2 BHK,900 sqft,₹1.05 Cr,"Located on the third floor, it boasts an entire terrace where you can unwind and enjoy panoramic views. Lets dive into the details: 1. Two bedrooms, each with attached bathrooms. 2. Facing greeenry and park. Wake up to natural light and fresh air every morning. 3. Modern kitchen: The modular kitchen is equipped with ample storage, igl gas connection. 4. Fully renovated: No compromises here! The..."
83,DDA Saraswati Apartments,"2 BHK Flat in Sector D Vasant Kunj, Delhi",2 BHK,"1,300 sqft",₹2.15 Cr,"Dda saraswati apartments is one of south delhi's most sought after destination for apartments and this 2 bhk flat in sector d vasant kunj is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1300 sq.Ft. The property is located on the 2nd floor of a 9 floors tall building. An added advantage of..."
84,"Lajpat Nagar, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar, Delhi",2 BHK,900 sqft,₹2.05 Cr,"2 bhk builder floor in lajpat nagar, south delhi available for sale. Equipped with 2 bedrooms, 2 bathrooms and 2 balconies. This property is semi-Furnished. This builder floor provides you super built up area of 100 sq.Yards. This builder floor is situated at the ground floor of 3 floors building. This 0-1 year old builder floor is ready to move in. The type of ownership of this property is fre..."
85,DDA Flats,"2 BHK Flat in Saket, South Delhi",2 BHK,"1,100 sqft",₹1.95 Cr,"Dda flats is one of south delhi's most sought after destination for apartments and this 2 bhk flat in saket is your opportunity to be a part of this community. This is a north-Facing property. The flat is over 1100 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the top floor of this 3 floors tall residential building. This is a ready to mov..."
86,DDA Flats Third Terrace,"2 BHK Independent Builder Floor in Saket, South Delhi",2 BHK,"1,100 sqft",₹1.75 Cr,"2 bhk builder floor in saket, south delhi available for sale. This builder floor comes with 2 bedrooms, 2 bathrooms and 2 balconies. It's a semi-Furnished property. This builder floor provides you carpet area of 1100 sq.Ft. It is located on 3rd floor of 4 storey building. This ready to move apartment is the residence you have been looking for. The type of ownership of this property is freehold...."
87,"Block X Hauz Khas, Delhi, South Delhi","2 BHK Independent Builder Floor in Block X Hauz Khas, Delhi",2 BHK,"1,600 sqft",₹3.35 Cr,Available for sale ground floor 2 bhk flat located on hauz khas main road. Most suitable for pofessionals. Additional details : The property is located on the main road Piped gas facility is available. The kitchen has been built with modular fittings. No power backup available. The house has muncipal supply. Each house has a dedicated water tank. You can easily park your car inside the compound...
88,arawali apartment,"2 BHK Flat in Alaknanda, Delhi",2 BHK,"1,280 sqft",₹1.8 Cr,"Situated in alaknanda, south delhi, arawali apartment is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in south delhi is your opportunity to be a part of this community. The flat is facing the east direction. The flat occupies a super built up area of 1280 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . This flat lies on the ground level of ..."
89,Narmada Apartment,"2 BHK Flat in Alaknanda, Delhi",2 BHK,"1,210 sqft",₹1.95 Cr,"Narmada apartment is one of the most popular destination for buying apartments/ flats in alaknanda, south delhi. You too can be a part of this society by purchasing this 2 bhk flat here. Constructed on a super built up area of 1210 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. This flat is situated on the 1st floor of this 4 floors tall residential building. Being a ready ..."
90,"Kalkaji, Delhi, South Delhi","2 BHK Independent Builder Floor in Kalkaji, Delhi",2 BHK,900 sqft,₹1.65 Cr,"Planning to purchase dream house in south delhi? This 2 bhk builder floor in kalkaji is a great option for you. 2 bedrooms, 2 bathrooms and 2 balconies are present in this builder floor. It's an unfurnished property. This builder floor spreads over carpet area of 900 sq.Ft. You can find this spectacular builder floor on the 2nd floor of 4 storey building. It is 0-1 year old ready to move proper..."
91,"Freedom Fighter Enclave, Delhi, South Delhi","2 BHK Independent Builder Floor in Freedom Fighter Enclave, Delhi",2 BHK,955 sqft,₹65 Lac,"This 2 bhk builder floor located in freedom fighter enclave, one of the prime locations in south delhi, is available for sale. This builder floor comes with 2 bedrooms, 2 bathrooms and 1 balcony. This builder floor is semi-Furnished. This builder floor provides you super built up area of 955 sq.Ft. This builder floor is situated at the 3rd floor of 4 floors building. It is 1-5 years old ready t..."
92,"Freedom Fighter Enclave, Delhi, South Delhi","2 BHK Independent Builder Floor in Freedom Fighter Enclave, Delhi",2 BHK,901 sqft,₹65 Lac,"2 bhk builder floor in freedom fighter enclave, south delhi available for sale. This spacious builder floor provides you 2 bedrooms, 2 bathrooms and 1 balcony. It's a semi-Furnished property. This builder floor spreads over super built up area of 901 sq.Ft. This builder floor is situated at the 2nd floor of 4 floors building. This ready to move apartment is the residence you have been looking f..."
93,"Freedom Fighter Enclave, Delhi, South Delhi","2 BHK Independent Builder Floor in Freedom Fighter Enclave, Delhi",2 BHK,"1,000 sqft",₹65 Lac,"Check out this 2 bhk builder floor in freedom fighter enclave. This property is located in well planned locality of south delhi. This property has 2 bedrooms, 2 bathrooms and 1 balcony. This builder floor is semi-Furnished. This spacious builder floor has super built up area of 1000 sq.Ft. It is located on top floor of 4 storey building. It is 1-5 years old ready to move property. The ownership..."
94,"Freedom Fighter Enclave, Delhi, South Delhi","2 BHK Independent Builder Floor in Freedom Fighter Enclave, Delhi",2 BHK,951 sqft,₹60 Lac,"Discover smartly planned 2 bhk builder floor in freedom fighter enclave, an ideal space for your family in south delhi. This spacious builder floor provides you 2 bedrooms, 2 bathrooms and 1 balcony. The furnishing status of the builder floor is semi-Furnished. This spacious builder floor has super built up area of 951 sq.Ft. You can find this spectacular builder floor on the 2nd floor of 4 sto..."
95,"Freedom Fighter Enclave, Delhi, South Delhi","2 BHK Independent Builder Floor in Freedom Fighter Enclave, Delhi",2 BHK,950 sqft,₹60 Lac,"2 bhk builder floor in freedom fighter enclave, south delhi available for sale. 2 bedrooms, 2 bathrooms and 1 balcony are present in this builder floor. This builder floor is semi-Furnished. This builder floor provides you super built up area of 950 sq.Ft. This beautiful property resides at 2nd floor of 4 floors building. It is 1-5 years old ready to move property. The type of ownership of this..."
96,"Freedom Fighter Enclave, Delhi, South Delhi","2 BHK Independent Builder Floor in Freedom Fighter Enclave, Delhi",2 BHK,900 sqft,₹60 Lac,"Looking for magnificent 2 bhk builder floors in freedom fighter enclave south delhi? This property is the best deal for you. This spacious builder floor provides you 2 bedrooms, 2 bathrooms and 1 balcony. This is a semi-Furnished builder floor. This builder floor spreads over super built up area of 900 sq.Ft. This builder floor is situated at the ground floor of 4 floors building. You can plan ..."
97,DDA Narmada Apartment,"2 BHK Flat in Sector D Vasant Kunj, Delhi",2 BHK,950 sqft,₹2.03 Cr,"Situated in sector d vasant kunj, south delhi, dda narmada apartment is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in south delhi is your opportunity to be a part of this community. The flat occupies a super built up area of 1000 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat is situated on the 3rd floor of this ..."
98,DDA Flats Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,600 sqft",₹2.4 Cr,"This 2 bhk flat is located in dda flats sector d pocket 7, which houses some of the most spacious flats in vasant kunj, south delhi. This is a north-West-Facing property. The flat is over 1600 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 3rd floor of a 4 floors tall building. This is a ready to move project and the property ..."
99,"Kalkaji, Delhi, South Delhi","2 BHK Independent Builder Floor in Kalkaji, Delhi",2 BHK,990 sqft,₹1.7 Cr,"Planning to purchase dream house in south delhi? This 2 bhk builder floor in kalkaji is a great option for you. This property has 2 bedrooms, 2 bathrooms and 1 balcony. This builder floor is semi-Furnished. Carpet area of the property is 990 sq.Ft. It is located on ground floor of 3 storey building. You can plan to move in immediately in this amazing ready to move in builder floor. The ownershi..."
100,"Block G Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Block G Lajpat Nagar 1, Delhi",2 BHK,"1,000 sqft",₹1.9 Cr,Super excellent location for residence Reputed builder
101,"Block C Lajpat Nagar 2, Delhi, South Delhi","2 BHK Independent Builder Floor in Block C Lajpat Nagar 2, Delhi",2 BHK,"1,000 sqft",₹2.4 Cr,Excellent location for residence in lajpat nagar builder floor italian finish good interior all fittings r branded
102,"Lajpat Nagar 4, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar 4, Delhi",2 BHK,"1,000 sqft",₹1.95 Cr,2 bhk with lift with parking brand new in lajpat nagar
103,"Lajpat Nagar 4, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar 4, Delhi",2 BHK,"1,000 sqft",₹1.35 Cr,2 bhk flat with drawing room Without lift owesome location for residence wide road
104,Amar Colony,"2 BHK Independent Builder Floor in Lajpat Nagar, Delhi",2 BHK,900 sqft,₹1.7 Cr,Builder floor well maintained in lajpat nagar park facing...With lift n 1 car prkg...All facilities on walking distance ...Mkt just a few steps away...Religious places just stone throw way distance..
105,"Kalkaji, Delhi, South Delhi","2 BHK Independent Builder Floor in Kalkaji, Delhi",2 BHK,900 sqft,₹2.25 Cr,"Beautiful brand new independent third floor with terrace, park facing, semi-Furnished, 2 bhk in kalkaji. Ample natural light, exclusive parking, lift, utility area. Close proximity to metro, markets, hospitals and parks. Reputed builder, good quality construction, best rates and service by mymaxxhome."
106,RWA Block K Lajpat Nagar 2,"2 BHK Flat in Lajpat Nagar 2, Delhi",2 BHK,900 sqft,₹1.42 Cr,"2bhk with lift and parking for sale in lajpat nagar, moduler kitchen, wooden work in bedroom, natural light in flat many other options available Additional details : Piped gas facility is available in the property. The apartment has munciple supply water supply. Daily needs shopping could be done within the society premises to make the stay convinent. No power backup is available. The society h..."
107,DDA Flats Sector C Pocket 9,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,200 sqft",₹3 Cr,"Looking for a 2 bhk property for sale in south delhi? Buy this 2 bhk flat in dda flats sector c pocket 9 that is situated in vasant kunj, south delhi. The flat is north-East-Facing. Constructed on a carpet area of 1200 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The flat has a total of 3 floors and this property is situated on top floor. As the project is already ready t..."
108,"Sultanpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Sultanpur, Delhi",2 BHK,900 sqft,₹60 Lac,"Carefully laid out in the prime location of south delhi, this elegant 2 bhk builder floor in sultanpur is a well-Suited property for you. This builder floor comes with 2 bedrooms, 2 bathrooms and 1 balcony. This property is semi-Furnished. This builder floor spreads over carpet area of 900 sq.Ft. It is located on ground floor of 4 storey building. It is 0-1 year old ready to move property. The ..."
109,"Amar Colony E Block, Delhi, South Delhi","2 BHK Independent Builder Floor in Amar Colony E Block, Delhi",2 BHK,"1,000 sqft",₹2.25 Cr,Brand new constructed in lajpat nagar 4 Close from metro station near from mother diary.
110,DDA FLAT,"2 BHK Flat in Saket, South Delhi",2 BHK,"1,450 sqft",₹2.3 Cr,"Dda flat is one of south delhi's most sought after destination for apartments and this 2 bhk flat in saket is your opportunity to be a part of this community. The flat is facing the west direction. Constructed on a carpet area of 1450 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 4 floors tall residential building. Being a r..."
111,"Kalkaji, Delhi, South Delhi","2 BHK Independent Builder Floor in Kalkaji, Delhi",2 BHK,900 sqft,₹2 Cr,"Discover smartly planned 2 bhk builder floor in kalkaji, an ideal space for your family in south delhi. Equipped with 2 bedrooms, 2 bathrooms and 2 balconies. This builder floor is semi-Furnished. This spacious builder floor has super built up area of 100 sq.Yards. It is located on top floor of 3 storey building. This ready to move apartment is the residence you have been looking for. The owner..."
112,"Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar 1, Delhi",2 BHK,900 sqft,₹2.25 Cr,"Lajpat nagar 1 is one of the sought after locations in south delhi to purchase a residential house. This 2 bhk builder floor in lajpat nagar 1 provides you an opportunity to be a part of this location. 2 bedrooms, 2 bathrooms and 2 balconies are present in this builder floor. This is a semi-Furnished builder floor. This spacious builder floor has super built up area of 100 sq.Yards. It is locat..."
113,"Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar 1, Delhi",2 BHK,900 sqft,₹2.2 Cr,"Lajpat nagar 1 is one of the sought after locations in south delhi to purchase a residential house. This 2 bhk builder floor in lajpat nagar 1 provides you an opportunity to be a part of this location. Equipped with 2 bedrooms, 2 bathrooms and 2 balconies. This is a semi-Furnished builder floor. This spacious builder floor has super built up area of 100 sq.Yards. This beautiful property resides..."
114,"Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Lajpat Nagar 1, Delhi",2 BHK,900 sqft,₹1.8 Cr,It's a 2bhk floor value for money
115,DDA Flats Sector B Pocket 2,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,600 sqft",₹2.25 Cr,A dda flat comes up with Full of natural light Floor 2nd Surrounded by lush green parks. Its a very peaceful society with 24x7 security with cctv installed. Groceries are available short handedly. The vicinity is witness of top schools of delhi in radius of 1 km. Top malls and lush green parks is an add on benefit with living in a place 10 minute drive from airport. Additional details : Piped g...
116,"Sector C Pocket 8, Vasant Kunj","2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,600 sqft",₹2.5 Cr,A dda flat comes up with Full of natural light Floor 3rd top 1 room on terrace Surrounded by lush green parks. Its a very peaceful society with 24x7 security with cctv installed. Groceries are available short handedly. The vicinity is witness of top schools of delhi in radius of 1 km. Top malls and lush green parks is an add on benefit with living in a place 10 minute drive from airport. Additi...
117,Godrej South Estate,"2 BHK Flat in Okhla, Delhi",2 BHK,"1,513 sqft",₹3.5 Cr,"Godrej south estate is a landmark that is inspired by the many landmarks that have come before it. You see, this is a home where every stone, metal and element of design draws inspiration from palaces and monumental structures. Recognizable from afar, its commanding presence towers far above the rest. With a gleaming copper crown atop its head, every element used to build this landmark has a ri..."
118,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,"1,250 sqft",₹1.5 Cr,"This 2 bhk apartment is available for sale in dda flats sarita vihar, one of the most prominent projects for flats in sarita vihar, south delhi. The flat is facing the east direction. The flat occupies a super built up area of 1250 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 4 floors tall residential building. Being a ready to ..."
119,Saraswati Narmada Ganga Yamuna Apartment,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,000 sqft",₹2 Cr,"Looking for a 2 bhk property for sale in south delhi? Buy this 2 bhk flat in saraswati narmada ganga yamuna apartment that is situated in vasant kunj, south delhi. This is a north-East-Facing property. The flat is over 1000 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 8 floors and this property is situated on 3rd floor. This is a ready to ..."
120,RWA Saket Block J,"2 BHK Independent Builder Floor in Saket, South Delhi",2 BHK,"1,125 sqft",₹1.8 Cr,"Carefully laid out in the prime location of south delhi, this elegant 2 bhk builder floor in saket is a well-Suited property for you. This builder floor comes with 2 bedrooms, 2 bathrooms and 1 balcony. This property is semi-Furnished. This spacious builder floor has carpet area of 125 sq.Yards. It is located on top floor of 3 storey building. You can plan to move in immediately in this amazing..."
121,"Block F Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Block F Lajpat Nagar 1, Delhi",2 BHK,900 sqft,₹2.75 Cr,"This third with terrace 2 bhk builder floor located in block f lajpat nagar 1, one of the prime locations in south delhi, is available for sale. This builder floor come s with 2 bedrooms, 2 bathrooms and 2 balconies. It's a semi-Furnished property. This spacious builder floor has super built up area of 100 sq.Yards. It is located on top floor of 3 storey building. It is 0-1 year old ready to mo..."
122,"Amar Colony, Delhi, South Delhi","2 BHK Independent Builder Floor in Amar Colony, Delhi",2 BHK,"1,000 sqft",₹1.3 Cr,Beautiful flat for residence beautiful location nearby market
123,"Block C Kalkaji, Delhi, South Delhi","2 BHK Independent Builder Floor in Block C Kalkaji, Delhi",2 BHK,900 sqft,₹1.8 Cr,"Block c kalkaji is one of the sought after locations in south delhi to purchase a residential house. This 2 bhk builder floor in block c kalkaji provides you an opportunity to be a part of this location. Equipped with 2 bedrooms, 2 bathrooms and 2 balconies. This property is semi-Furnished. This spacious builder floor has carpet area of 100 sq.Yards. This builder floor apartment is located at 2..."
124,DDA Flats Sector A Pocket B & C,"2 BHK Flat in Sector A Vasant Kunj, Delhi",2 BHK,"1,350 sqft",₹2.25 Cr,"2bhk 3rd floor flat for sale sector a pocket b&c vasant kunj south delhi It is a 2bhk, 2 bath, 3rd floor flat for sale in sector a pocket b and c, vasant kunj. Flat is ready to move , chattarpur metro station is upto 1km away from this sector. A new metro station is under construction nearby. Nestled in a quite corner of sector a in vasant kunj, the flat has it all !!! All basic utilities such ..."
125,Gangotri Enclave,"2 BHK Flat in Alaknanda, Delhi",2 BHK,"1,300 sqft",₹1.77 Cr,"This beautiful 2 bhk flat in alaknanda, south delhi is situated in gangotri enclave, one of the popular residential society in south delhi. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1300 sq.Ft. The flat has a total of 3 floors and this property is situated on 2nd floor. This is a ready to move pro..."
126,Vijay Mandal Enclave DDA SFS Flats,"2 BHK Flat in Hauz Khas, Delhi",2 BHK,"1,000 sqft",₹1.54 Cr,"The property is a 2 bedrooms, 2 washrooms, drawing-Dining, 2 balconies, kitchen and scooter garage is available on sale vijay mandal enclave, hauz khas, delhi south for rs. 154,00,000/- (Rupees one crore fifty four lakh only. The property situated in third floor of four storey building. The corner house is north facing and is full natural light and have sunlight available in all seasons. This i..."
127,Vijay Mandal Enclave DDA SFS Flats,"2 BHK Flat in Hauz Khas, Delhi",2 BHK,"1,060 sqft",₹1.56 Cr,"Earth associates offer property for rent of 2 bedrooms drawing-Dining with attached 2 bath and 2 balconies iin the location of vijay mandal envlave, hauz khas, delhi south the property available in reasonable price of rs. 1,56,00,000/- (Rupees one crore fifty six lakh only). This property which is situated on second floor of 4 storey building. The unit is 1 to 3 km from market, sports complex, ..."
128,DDA Flats Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,666 sqft,₹1.35 Cr,Very well renovated 2 rooms apartment. Kindly contact us before it's gone.
129,DDA Flats Sector C Pocket 6,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,400 sqft",₹2.25 Cr,"This beautiful 2 bhk flat in vasant kunj, south delhi is situated in dda flats sector c pocket 6, one of the popular residential society in south delhi. The flat is over 1400 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the ground floor of this 3 floors tall residential building. This 10+ years old property is available for immediate poss..."
130,"Paryavaran Complex, Delhi, South Delhi","2 BHK Independent Builder Floor in Paryavaran Complex, Delhi",2 BHK,851 sqft,₹65 Lac,"2 bhk builder floor in paryavaran complex, south delhi available for sale. This property has 2 bedrooms, 2 bathrooms and 1 balcony. The furnishing status of the builder floor is semi-Furnished. This spacious builder floor has super built up area of 851 sq.Ft. This builder floor apartment is located at ground floor in a building of total 4 floors. You can plan to move in immediately in this amaz..."
131,"Malviya Nagar, Delhi, South Delhi","2 BHK Independent Builder Floor in Malviya Nagar, Delhi",2 BHK,900 sqft,₹75 Lac,"2 bhk builder floor in malviya nagar enjoys a prime property in south delhi. This apartment is just the type of property you are looking for. 2 bedrooms, 2 bathrooms and 1 balcony are present in this builder floor. This is a semi-Furnished builder floor. This builder floor provides you carpet area of 900 sq.Ft. You can find this spectacular builder floor on the 2nd floor of 3 storey building. T..."
132,"Malviya Nagar, Delhi, South Delhi","2 BHK Independent Builder Floor in Malviya Nagar, Delhi",2 BHK,900 sqft,₹1.45 Cr,"This well designed 2 bhk builder floor in malviya nagar, south delhi, is a perfect place for your family. This spacious builder floor provides you 2 bedrooms, 2 bathrooms and 1 balcony. This builder floor is semi-Furnished. This builder floor spreads over built up area of 900 sq.Ft. It is located on 1st floor of 4 storey building. It is 0-1 year old ready to move property. It is a freehold prop..."
133,RWA Sant Nagar,"2 BHK Independent Builder Floor in Sant Nagar, Delhi",2 BHK,900 sqft,₹1.21 Cr,Newly built first floor sant nagar east of kailash new delhi
134,DDA Flats Vasant Kunj,"2 BHK Flat in Sector B Vasant Kunj, Delhi",2 BHK,"1,400 sqft",₹2.95 Cr,"Its a 2bhk extendable flats from both side front and back,24 hrswater and electricity supply,lift available,cctv installed and rwa securities,here school,malls,banks and market are in 1 km area"
135,DDA Yamuna Block Apartment,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,100 sqft",₹2.35 Cr,"Dda yamuna block apartment is one of the most popular destination for buying apartments in vasant kunj, delhi south. You too can be a part of this society by purchasing this 2bhk flat here. The flat is over super built up area of 1100 sq.Ft. And comes with 2 bathroom. The property is located on the 3rd floor of a 8 floor tall building. This 5-10 year(s) old property is available for immediate p..."
136,DDA Santushti Apartments,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,150 sqft",₹2.05 Cr,"A beautiful 2 bhk apartment in vasant kunj, delhi south. The property is a part of . It is a property in a promising locality. This well-Designed new property is . It is located on ground floor. The property ownership is freehold type and has a super built-Up area of 1150 sq.Ft. The price of the property is estimated at rs. Rs 2.05 crorewith 2 bathroom(s), the apartment is semi-Furnished. Cover..."
137,Saraswati Narmada Ganga Yamuna Apartment,"2 BHK Flat in Vasant Kunj, Delhi",2 BHK,850 sqft,₹1.3 Cr,"Looking for a 2 bhk property for sale in south delhi? Buy this 2 bhk flat in saraswati narmada ganga yamuna apartment that is situated in vasant kunj, south delhi. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 850 sq.Ft. The flat has a total of 3 floors and this property is situated on ground floor. This 1-5 ye..."
138,Saraswati Narmada Ganga Yamuna Apartment,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,950 sqft,₹1.85 Cr,"Saraswati narmada ganga yamuna apartment is one of the most popular destination for buying apartments/ flats in vasant kunj, south delhi. You too can be a part of this society by purchasing this 2 bhk flat here. This is a east-Facing property. The flat is over 950 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 8 floors in total and the ..."
139,RWA Malviya Nagar Block M,"2 BHK Independent Builder Floor in Malviya Nagar, Delhi",2 BHK,900 sqft,₹1.3 Cr,"Looking for buyer to purchase our builder floor available for sale in malviya nagar, delhi. Available at price of rs 1.3 crores. It has super area of 900 sq ft. It has 2 bhk, 2 bathroom, 2 balcony.It is a freehold property"
140,Golf View Apartments,"2 BHK Flat in Saket, South Delhi",2 BHK,"1,650 sqft",₹2.6 Cr,"Independent dda floor , its second floor, full renovate, 2 bedroom attached bathroom drawing dining room modular kitchen balcony lots of greenery park, sun light, near pvr saket, malvia nagar metro station available immediately more interested kindly cont. Us"
141,DDA Flats,"2 BHK Flat in Saket, South Delhi",2 BHK,"1,500 sqft",₹2.6 Cr,Saket dda flat 2 bhk second floor park facing wide road vastu perfect no lift near by matro
142,Saraswati Narmada Ganga Yamuna Apartment,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,100 sqft",₹1.8 Cr,Flat for sale in vasant kunj more information call me. Additional details :
143,Saraswati Narmada Ganga Yamuna Apartment,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,050 sqft",₹1.9 Cr,"Check out this 2 bhk apartment for sale in saraswati narmada ganga yamuna apartment, a popular residential project that houses in-Demand flats in vasant kunj, south delhi. This property faces the east direction. Constructed on a carpet area of 1050 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 8 floors in total and the flat for sale is locate..."
144,DDA Flats,"2 BHK Flat in Kalkaji Extension, Delhi",2 BHK,"1,000 sqft",₹91 Lac,"Dda flats is one of the most popular destination for buying apartments/ flats in kalkaji extension, south delhi. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is facing the east direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms . All in all, the flat is spread over a super built up area of 1000 sq.Ft. The flat has a total of 4 floors ..."
145,DDA Flats,"2 BHK Flat in Kalkaji Extension, Delhi",2 BHK,650 sqft,₹65 Lac,"This 2 bhk apartment is available for sale in dda flats, one of the most prominent projects for flats in kalkaji extension, south delhi. The floor plan additionally contains 2 bedroom(s), 1 bathroom . All in all, the flat is spread over a super built up area of 650 sq.Ft. This flat lies on the ground level of a 4 storey building. Being a ready to move project, you can expect immediate possessio..."
146,DDA LIG Flats RWA,"2 BHK Flat in Kalkaji, Delhi",2 BHK,"1,000 sqft",₹1.35 Cr,"Situated in kalkaji, south delhi, dda lig flats rwa is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in south delhi is your opportunity to be a part of this community. The flat is facing the east direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1000 sq.Ft. The flat has a total o..."
147,Saraswati Narmada Ganga Yamuna Apartment,2 BHK Flat in Vasant Kunj,2 BHK,"1,050 sqft",₹2 Cr,"This 2 bhk flat is located in saraswati narmada ganga yamuna apartment, which houses some of the most spacious flats in vasant kunj, south delhi. This is a east-Facing property. Constructed on a carpet area of 1050 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The property is located on the 4th floor of a 8 floors tall building. This 10 years old property is available fo..."
148,DDA C8 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,100 sqft",₹2.51 Cr,"This lovely 2 bhk apartment/flat in vasant kunj is available for sale in one of south delhi's most popular projects, dda c8 vasant kunj. This is a north-West-Facing property. Constructed on a carpet area of 1100 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 3 floors and this property is situated on top floor. This 5-10 years old property is availa..."
149,DDA C8 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,100 sqft",₹2.25 Cr,"This beautiful 2 bhk flat in vasant kunj, south delhi is situated in dda c8 vasant kunj, one of the popular residential society in south delhi. This property faces the north-West direction. The flat occupies a carpet area of 1100 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. The flat has a total of 3 floors and this property is situated on top floor. An added advantage of this ..."
150,Dda Flats,"2 BHK Flat in Sector A Vasant Kunj, Delhi",2 BHK,"12,500 sqft",₹2.4 Cr,"Check out this 2 bhk apartment for sale in dda flats, a popular residential project that houses in-Demand flats in sector a vasant kunj, south delhi. This is a north-West-Facing property. The flat occupies a carpet area of 12500 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. The property is located on the 2nd floor of a 4 floors tall building. As the project is already ready to ..."
151,Sector D Pocket 7,"2 BHK Flat in Sector D Vasant Kunj, Delhi",2 BHK,"1,100 sqft",₹2.6 Cr,"Situated in sector d vasant kunj, south delhi, sector d pocket 7 is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in south delhi is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 1100 sq.Ft. The flat has a total of 2 floors and this property is si..."
